id|marca|nombre|precio|precio_1|precio_2|precio_3|precio_unitario|rubro|url_imagen|url_producto
""||Aceite Cañuelas Oliva Intenso 500cc|415.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/220311-58116916046af9b3e315988111926122-480-0.jpg|productos/ac-canuelas-oliv-in-pet-500-cc/
""||Aceite Cañuelas Oliva Suave 500cc|415.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/220301-333f3a18318b80229215988119589449-480-0.jpg|productos/ac-canuelas-oliv-su-pet-500-cc/
""||Aceite Cocinero Girasol 1,5lt|299.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-girasol-cocinero-1-5-l1-70562c7e06c6ba7e9b16057061476408-480-0.jpg|productos/ac-cocinero-girasol-1-5-lt/
""||Aceite Cocinero Girasol Aerosol Fritolim 120gr|162.5|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-fritolim-clasico-aero-x-120-gr1-f5e8fe909d0153ff1a16173998650258-480-0.jpg|productos/aceite-cocinero-girasol-aerosol-fritolim-120-gr/
""||Aceite Cocinero Girasol Plus 900ml ,|250.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-cocinero-plus-girasol-900-cc-aceite-cocinero-plus-girasol-900-cc-1-103591-7528dceaf14701133616122925497462-480-0.jpg|productos/aceite-cocinero-girasol-plus-900-ml/
""||Aceite De Maiz Arcor 900ml|282.3|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-de-maiz-arcor-900-ml-_11-38e425b50a69a1275e16207401714293-480-0.jpg|productos/aceite-de-maiz-arcor-900-ml/
""||Aceite De Oliva Marolio 500ml|410.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/assets/stores/img/no-photo-480-0.png|productos/aceite-de-oliva-marolio-500ml/
""||Aceite Marolio Oliva Extra Vigen 250ml|214.37|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-marolio-oliva-extra-vigen-250-ml1-3038186d714e3b961d16166770821623-480-0.jpg|productos/aceite-marolio-oliva-extra-vigen-250-ml/
""||Aceite Molto Aerosol Girasol 120gr|181.9|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-molto-aerosol-girasol-120-gr1-0f4f22f12ab2f8c4f616107361697969-480-0.png|productos/aceite-molto-aerosol-girasol-120-gr/
""||Aceite Molto Aerosol Oliva 120gr|226.07|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/aceite-molto-aerosol-oliva-120-gr1-f32df6961224a0228316088226786698-480-0.jpg|productos/aceite-molto-aerosol-oliva-120-gr/
""||Aceite Natura Aerosol 120cc|199.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/1871-8683f744226524a40215988124512148-480-0.jpg|productos/ac-natura-aero-120-cc/
""||Aceite Natura Aerosol Oliva 120cc|225.0|||||Productos > Aceites y Vinagres|http://d3ugyf2ht6aenh.cloudfront.net/stores/001/219/229/products/2226811-b95a4d51d255e5b71015988859030275-480-0.jpg|productos/ac-natura-aero-oliva-120-cc/
